iter	Passed	Remaining
0	4	4745
1	8	4112
2	12	4021
3	16	4212
4	21	4320
5	25	4300
6	29	4249
7	33	4105
8	35	3913
9	38	3766
10	40	3604
11	42	3482
12	44	3380
13	46	3265
14	48	3159
15	49	3049
16	51	2959
17	52	2862
18	53	2783
19	55	2707
20	56	2640
21	58	2579
22	59	2521
23	60	2463
24	61	2411
25	62	2356
26	63	2303
27	64	2251
28	65	2201
29	66	2161
30	67	2121
31	68	2084
32	69	2051
33	70	2016
34	72	1985
35	72	1948
36	74	1927
37	75	1900
38	75	1872
39	76	1845
40	77	1819
41	78	1792
42	79	1767
43	80	1743
44	81	1720
45	81	1698
46	82	1679
47	83	1658
48	84	1637
49	85	1620
50	85	1599
51	86	1581
52	87	1564
53	88	1548
54	89	1530
55	89	1515
56	90	1500
57	91	1484
58	92	1472
59	93	1459
60	93	1446
61	94	1433
62	95	1421
63	96	1408
64	97	1397
65	97	1385
66	98	1375
67	99	1365
68	100	1356
69	101	1346
70	102	1336
71	103	1327
72	103	1317
73	104	1307
74	105	1298
75	106	1290
76	106	1281
77	107	1272
78	108	1263
79	109	1254
80	109	1245
81	110	1237
82	110	1226
83	111	1218
84	112	1210
85	113	1203
86	114	1197
87	114	1191
88	115	1184
89	116	1179
90	117	1174
91	118	1169
92	119	1163
93	120	1157
94	120	1150
95	121	1144
96	122	1138
97	123	1132
98	123	1127
99	124	1122
100	125	1117
101	126	1112
102	127	1108
103	128	1103
104	128	1098
105	129	1094
106	130	1090
107	131	1085
108	132	1082
109	133	1077
110	133	1073
111	134	1068
112	135	1063
113	136	1058
114	137	1055
115	137	1050
116	138	1045
117	139	1041
118	140	1037
119	140	1033
120	141	1029
121	142	1024
122	143	1020
123	143	1015
124	144	1011
125	145	1008
126	146	1003
127	146	1000
128	147	997
129	148	994
130	149	989
131	150	986
132	150	982
133	151	978
134	152	976
135	153	972
136	153	969
137	154	966
138	155	963
139	156	960
140	157	956
141	157	952
142	158	949
143	159	946
144	159	943
145	160	941
146	161	938
147	162	935
148	163	934
149	164	931
150	165	928
151	165	925
152	166	922
153	167	919
154	168	917
155	169	915
156	169	912
157	170	910
158	171	907
159	172	905
160	173	901
161	173	899
162	174	897
163	175	895
164	176	893
165	177	891
166	178	888
167	178	886
168	179	883
169	180	881
170	181	878
171	182	876
172	183	874
173	183	872
174	184	869
175	185	867
176	186	864
177	186	863
178	187	861
179	188	858
180	189	856
181	189	853
182	190	851
183	191	849
184	192	847
185	193	845
186	193	842
187	194	840
188	195	838
189	196	836
190	197	834
191	197	832
192	198	830
193	199	828
194	200	827
195	201	825
196	202	823
197	203	822
198	203	820
199	204	818
200	205	816
201	206	814
202	207	813
203	207	811
204	208	809
205	209	807
206	210	805
207	211	803
208	212	802
209	213	801
210	213	799
211	214	798
212	215	796
213	216	795
214	217	794
215	218	793
216	219	791
217	220	789
218	220	787
219	221	785
220	222	784
221	223	783
222	224	782
223	225	780
224	226	778
225	226	777
226	227	775
227	228	773
228	229	772
229	230	770
230	230	768
231	231	766
232	232	765
233	233	763
234	233	761
235	234	760
236	235	758
237	236	757
238	237	755
239	237	753
240	238	751
241	239	750
242	240	749
243	241	747
244	242	745
245	243	745
246	243	743
247	244	742
248	245	741
249	246	740
250	247	738
251	248	736
252	249	735
253	249	733
254	250	732
255	251	730
256	252	729
257	253	728
258	254	728
259	255	727
260	256	726
261	257	724
262	258	723
263	258	721
264	259	720
265	260	718
266	261	717
267	262	716
268	262	714
269	263	713
270	264	711
271	265	710
272	266	709
273	266	707
274	267	705
275	268	704
276	269	703
277	270	702
278	271	700
279	272	699
280	273	698
281	274	697
282	275	696
283	275	695
284	276	694
285	277	692
286	278	691
287	279	689
288	279	688
289	280	687
290	281	685
291	282	684
292	283	683
293	283	681
294	284	680
295	285	679
296	286	677
297	287	676
298	288	675
299	288	674
300	289	673
301	290	672
302	291	671
303	292	670
304	293	668
305	294	667
306	295	665
307	295	664
308	296	663
309	297	661
310	298	660
311	299	659
312	300	658
313	301	657
314	302	656
315	303	655
316	303	654
317	304	653
318	305	651
319	306	650
320	306	649
321	307	647
322	308	646
323	309	645
324	310	644
325	311	643
326	312	642
327	313	641
328	313	639
329	314	638
330	315	637
331	316	636
332	317	635
333	318	634
334	319	633
335	319	632
336	320	630
337	321	629
338	322	627
339	322	626
340	323	625
341	324	624
342	325	622
343	326	621
344	326	620
345	327	619
346	328	618
347	329	617
348	330	616
349	331	615
350	332	614
351	333	613
352	334	612
353	334	610
354	335	609
355	336	608
356	337	607
357	338	606
358	339	605
359	339	604
360	340	603
361	341	601
362	342	600
363	343	599
364	347	604
365	348	603
366	349	602
367	350	601
368	350	600
369	351	598
370	352	597
371	353	596
372	354	595
373	354	593
374	355	592
375	356	591
376	357	590
377	358	589
378	359	588
379	360	587
380	360	586
381	361	585
382	362	584
383	363	583
384	364	582
385	365	580
386	366	579
387	366	578
388	367	577
389	368	576
390	369	575
391	370	573
392	370	572
